07/27,Belgium,Wout van AERT,Cycling Road,Men's Individual Time Trial,3,X 1
07/27,Tunisia,Fares FERJANI,Fencing,Men's Sabre Individual,2,X 1
07/27,Belgium,Remco EVENEPOEL,Cycling Road,Men's Individual Time Trial,1,X 1
07/27,United States,Chloe DYGERT,Cycling Road,Women's Individual Time Trial,3,X 1
07/27,Australia,Elijah WINNINGTON,Swimming,Men's 400m Freestyle,2,X 1
07/27,Spain,Francisco GARRIGOS,Judo,Men -60 kg,3,X 1
07/27,Japan,NAGAYAMA Ryuju,Judo,Men -60 kg,3,X 1
07/27,Canada,Summer McINTOSH,Swimming,Women's 400m Freestyle,2,X 1
07/27,France,Auriane MALLO-BRETON,Fencing,Women's Épée Individual,2,X 1
07/27,Australia,Grace BROWN,Cycling Road,Women's Individual Time Trial,1,X 1
07/27,Kazakhstan,Yeldos SMETOV,Judo,Men -60 kg,1,X 1
07/27,Hungary,Eszter MUHARI,Fencing,Women's Épée Individual,3,X 1
07/27,South Korea,KIM Woomin,Swimming,Men's 400m Freestyle,3,X 1
07/27,Hong Kong,KONG Man Wai Vivian,Fencing,Women's Épée Individual,1,X 1
07/27,Great Britain,Anna HENDERSON,Cycling Road,Women's Individual Time Trial,2,X 1
07/27,Japan,TSUNODA Natsumi,Judo,Women -48 kg,1,X 1
07/27,Italy,Luigi SAMELE,Fencing,Men's Sabre Individual,3,X 1
07/27,Italy,Filippo GANNA,Cycling Road,Men's Individual Time Trial,2,X 1
07/27,Sweden,Tara BABULFATH,Judo,Women -48 kg,3,X 1
07/27,South Korea,OH Sanguk,Fencing,Men's Sabre Individual,1,X 1
07/27,France,Luka MKHEIDZE,Judo,Men -60 kg,2,X 1
07/27,France,Shirine BOUKLI,Judo,Women -48 kg,3,X 1
07/27,Mongolia,Baasankhuu BAVUUDORJ,Judo,Women -48 kg,2,X 1
07/27,Australia,Ariarne TITMUS,Swimming,Women's 400m Freestyle,1,X 1
07/27,Germany,Lukas MAERTENS,Swimming,Men's 400m Freestyle,1,X 1
07/27,United States,Katie LEDECKY,Swimming,Women's 400m Freestyle,3,X 1
07/28,Japan,AKAMA Liz,Skateboarding,Women's Street,2,X 1
07/28,India,Manu BHAKER,Shooting,10m Air Pistol Women,3,X 1
07/28,Brazil,Willian LIMA,Judo,Men -66 kg,2,X 1
07/28,Japan,YOSHIZAWA Coco,Skateboarding,Women's Street,1,X 1
07/28,Kazakhstan,Gusman KYRGYZBAYEV,Judo,Men -66 kg,3,X 1
07/28,Australia,Jessica FOX,Canoe Slalom,Women's Kayak Single,1,X 1
07/28,United States,Nic FINK,Swimming,Men's 100m Breaststroke,2,X 1
07/28,United States,Carson FOSTER,Swimming,Men's 400m Individual Medley,3,X 1
07/28,Italy,Nicolo MARTINENGHI,Swimming,Men's 100m Breaststroke,1,X 1
07/28,Kosovo,Distria KRASNIQI,Judo,Women -52 kg,2,X 1
07/28,Sweden,Jenny RISSVEDS,Cycling Mountain Bike,Women's Cross-country,3,X 1
07/28,United States,Torri HUSKE,Swimming,Women's 100m Butterfly,1,X 1
07/28,Republic of Moldova,Denis VIERU,Judo,Men -66 kg,3,X 1
07/28,France,Amandine BUCHARD,Judo,Women -52 kg,3,X 1
07/28,France,Leon MARCHAND,Swimming,Men's 400m Individual Medley,1,X 1
07/28,Italy,Paolo MONNA,Shooting,10m Air Pistol Men,3,X 1
07/28,Italy,Federico Nilo MALDINI,Shooting,10m Air Pistol Men,2,X 1
07/28,Japan,MATSUSHITA Tomoyuki,Swimming,Men's 400m Individual Medley,2,X 1
07/28,Canada,Eleanor HARVEY,Fencing,Women's Foil Individual,3,X 1
07/28,Japan,ABE Hifumi,Judo,Men -66 kg,1,X 1
07/28,United States,Haley BATTEN,Cycling Mountain Bike,Women's Cross-country,2,X 1
07/28,China,ZHANG Yufei,Swimming,Women's 100m Butterfly,3,X 1
07/28,Japan,KANO Koki,Fencing,Men's Épée Individual,1,X 1
07/28,Great Britain,Kimberley WOODS,Canoe Slalom,Women's Kayak Single,3,X 1
07/28,United States,Lauren SCRUGGS,Fencing,Women's Foil Individual,2,X 1
07/28,Brazil,Rayssa LEAL,Skateboarding,Women's Street,3,X 1
07/28,United States,Gretchen WALSH,Swimming,Women's 100m Butterfly,2,X 1
07/28,France,Pauline FERRAND PREVOT,Cycling Mountain Bike,Women's Cross-country,1,X 1
07/28,Brazil,Larissa PIMENTA,Judo,Women -52 kg,3,X 1
07/28,South Korea,OH Ye Jin,Shooting,10m Air Pistol Women,1,X 1
07/28,South Korea,KIM Yeji,Shooting,10m Air Pistol Women,2,X 1
07/28,Egypt,Mohamed ELSAYED,Fencing,Men's Épée Individual,3,X 1
07/28,Uzbekistan,Diyora KELDIYOROVA,Judo,Women -52 kg,1,X 1
07/28,Poland,Klaudia ZWOLINSKA,Canoe Slalom,Women's Kayak Single,2,X 1
07/28,Great Britain,Adam PEATY,Swimming,Men's 100m Breaststroke,2,X 1
07/28,France,Yannick BOREL,Fencing,Men's Épée Individual,2,X 1
07/28,China,XIE Yu,Shooting,10m Air Pistol Men,1,X 1
07/28,United States,Lee KIEFER,Fencing,Women's Foil Individual,1,X 1
07/29,Japan,FUNAKUBO Haruka,Judo,Women -57 kg,3,X 1
07/29,China,XU Jiayu,Swimming,Men's 100m Backstroke,2,X 1
07/29,Switzerland,Audrey GOGNIAT,Shooting,10m Air Rifle Women,3,X 1
07/29,China,TANG Qianting,Swimming,Women's 100m Breaststroke,2,X 1
