7/27,China,Shooting Team,10m Air Rifle Mixed Team,1,2
7/27,Kazakhstan,Shooting Team,10m Air Rifle Mixed Team,3,2
7/27,South Korea,Shooting Team,10m Air Rifle Mixed Team,2,2
7/27,Belgium,Wout van AERT,Cycling Road - Men's Individual Time Trial,3,1
7/27,Italy,Filippo GANNA,Cycling Road - Men's Individual Time Trial,2,1
7/27,Belgium,Remco EVENEPOEL,Cycling Road - Men's Individual Time Trial,1,1
7/27,Australia,Grace BROWN,Cycling Road - Women's Individual Time Trial,1,1
7/27,United States,Chloe DYGERT,Cycling Road - Women's Individual Time Trial,3,1
7/27,Great Britain,Anna HENDERSON,Cycling Road - Women's Individual Time Trial,2,1
7/27,South Korea,OH Sanguk,Fencing - Men's Sabre Individual,1,1
7/27,Italy,Luigi SAMELE,Fencing - Men's Sabre Individual,3,1
7/27,Tunisia,Fares FERJANI,Fencing - Men's Sabre Individual,2,1
7/27,Hong Kong,KONG Man Wai Vivian,Fencing - Women's Épée Individual,1,1
7/27,France,Auriane MALLO-BRETON,Fencing - Women's Épée Individual,2,1
7/27,Hungary,Eszter MUHARI,Fencing - Women's Épée Individual,3,1
7/27,Kazakhstan,Yeldos SMETOV,Judo - Men -60 kg,1,1
7/27,France,Luka MKHEIDZE,Judo - Men -60 kg,2,1
7/27,Japan,NAGAYAMA Ryuju,Judo - Men -60 kg,3,1
7/27,Spain,Francisco GARRIGOS,Judo - Men -60 kg,3,1
7/27,Sweden,Tara BABULFATH,Judo - Women -48 kg,3,1
7/27,Japan,TSUNODA Natsumi,Judo - Women -48 kg,1,1
7/27,Mongolia,Baasankhuu BAVUUDORJ,Judo - Women -48 kg,2,1
7/27,France,Shirine BOUKLI,Judo - Women -48 kg,3,1
7/27,Fiji,Rugby Sevens Team,Men,2,14
7/27,South Africa,Rugby Sevens Team,Men,3,13
7/27,France,Rugby Sevens Team,Men,1,13
7/27,United States,Swimming Team,Men's 4 x 100m Freestyle Relay,1,6
7/27,Australia,Swimming Team,Men's 4 x 100m Freestyle Relay,2,5
7/27,Italy,Swimming Team,Men's 4 x 100m Freestyle Relay,3,6
7/27,Germany,Lukas MAERTENS,Swimming - Men's 400m Freestyle,1,1
7/27,South Korea,KIM Woomin,Swimming - Men's 400m Freestyle,3,1
7/27,Australia,Elijah WINNINGTON,Swimming - Men's 400m Freestyle,2,1
7/27,Australia,Ariarne TITMUS,Swimming - Women's 400m Freestyle,1,1
7/27,United States,Katie LEDECKY,Swimming - Women's 400m Freestyle,3,1
7/27,Canada,Summer McINTOSH,Swimming - Women's 400m Freestyle,2,1
7/27,China,Swimming Team,Women's 4 x 100m Freestyle Relay,3,5
7/27,Australia,Swimming Team,Women's 4 x 100m Freestyle Relay,1,6
7/27,United States,Swimming Team,Women's 4 x 100m Freestyle Relay,2,6
7/27,Great Britain,Diving Team,Women's Synchronised 3m Springboard,3,2
7/27,United States,Diving Team,Women's Synchronised 3m Springboard,2,2
7/27,China,Diving Team,Women's Synchronised 3m Springboard,1,2
7/28,Great Britain,Kimberley WOODS,Canoe Slalom - Women's Kayak Single,3,1
7/28,Poland,Klaudia ZWOLINSKA,Canoe Slalom - Women's Kayak Single,2,1
7/28,Australia,Jessica FOX,Canoe Slalom - Women's Kayak Single,1,1
7/28,Sweden,Jenny RISSVEDS,Cycling Mountain Bike - Women's Cross-country,3,1
7/28,United States,Haley BATTEN,Cycling Mountain Bike - Women's Cross-country,2,1
7/28,France,Pauline FERRAND PREVOT,Cycling Mountain Bike - Women's Cross-country,1,1
7/28,Egypt,Mohamed ELSAYED,Fencing - Men's Épée Individual,3,1
7/28,France,Yannick BOREL,Fencing - Men's Épée Individual,2,1
7/28,Japan,KANO Koki,Fencing - Men's Épée Individual,1,1
7/28,Canada,Eleanor HARVEY,Fencing - Women's Foil Individual,3,1
7/28,United States,Lauren SCRUGGS,Fencing - Women's Foil Individual,2,1
7/28,United States,Lee KIEFER,Fencing - Women's Foil Individual,1,1
7/28,Kazakhstan,Gusman KYRGYZBAYEV,Judo - Men -66 kg,3,1
7/28,Republic of Moldova,Denis VIERU,Judo - Men -66 kg,3,1
7/28,Japan,ABE Hifumi,Judo - Men -66 kg,1,1
7/28,Brazil,Willian LIMA,Judo - Men -66 kg,2,1
7/28,Uzbekistan,Diyora KELDIYOROVA,Judo - Women -52 kg,1,1
7/28,France,Amandine BUCHARD,Judo - Women -52 kg,3,1
7/28,Kosovo,Distria KRASNIQI,Judo - Women -52 kg,2,1
7/28,Brazil,Larissa PIMENTA,Judo - Women -52 kg,3,1
7/28,Italy,Federico Nilo MALDINI,Shooting - 10m Air Pistol Men,2,1
7/28,Italy,Paolo MONNA,Shooting - 10m Air Pistol Men,3,1
7/28,China,XIE Yu,Shooting - 10m Air Pistol Men,1,1
